CRIMETYPE	DATETIME	CASENUMBER	DESCRIPTION	POLICEBEAT	ADDRESS	CITY	STATE	Location
THEFT/LARCENY	11/24/2018 12:30:00 AM	18-917040	THEFT	30Y	7700 CREST AV	Oakland	CA	"7700 CREST AV
Oakland, CA
(37.77048, -122.163648)"
ASSAULT	10/06/2018 09:30:00 PM	18-050851	FORCE/ADW-OTHER DANGEROUS WEAPON:GBI	30X	1900 73RD AV	Oakland	CA	"1900 73RD AV
Oakland, CA
(37.762121, -122.182527)"
THEFT/LARCENY	12/01/2018 12:30:00 PM	18-917460	BURGLARY-AUTO	04X	1600 BROADWAY	Oakland	CA	"1600 BROADWAY
Oakland, CA
(37.80609, -122.270065)"
THEFT/LARCENY	11/04/2018 10:30:00 AM	18-915768	THEFT	28X	5000 MACARTHUR BLVD	Oakland	CA	"5000 MACARTHUR BLVD
Oakland, CA
(37.782665, -122.187921)"
THEFT/LARCENY	10/31/2018 05:00:00 AM	18-915552	GRAND THEFT	07X	2600 MAGNOLIA ST	Oakland	CA	"2600 MAGNOLIA ST
Oakland, CA
(37.819232, -122.283818)"
THEFT/LARCENY	11/27/2018 04:30:00 PM	18-917157	THEFT	09X	5100 BROADWAY	Oakland	CA	"5100 BROADWAY
Oakland, CA
(37.835394, -122.251678)"
THEFT/LARCENY	10/20/2018 11:00:00 AM	18-914946	THEFT	03Y	1200 CLAY ST	Oakland	CA	"1200 CLAY ST
Oakland, CA
(37.804497, -122.27411)"
ASSAULT	11/18/2018 05:45:00 PM	18-058432	BATTERY	02Y	500 PERALTA ST	Oakland	CA	"500 PERALTA ST
Oakland, CA
(37.805348, -122.298766)"
ROBBERY	12/25/2018 06:35:00 PM	18-064849	ATTEMPTED ROBBERY-STRONG-ARM	03X	1300 BROADWAY	Oakland	CA	"1300 BROADWAY
Oakland, CA
(37.803663, -122.271636)"
VANDALISM	11/28/2018 05:00:00 AM	18-917209	VANDALISM	09X	4000 HOWE ST	Oakland	CA	"4000 HOWE ST
Oakland, CA
(37.826481, -122.253941)"
VANDALISM	11/07/2018 08:00:00 PM	18-915924	VANDALISM	08X	2200 TELEGRAPH AV	Oakland	CA	"2200 TELEGRAPH AV
Oakland, CA
(37.811582, -122.269056)"
THEFT/LARCENY	11/13/2018 08:41:00 AM	18-057494	THEFT	21Y	2900 BROOKDALE AV	Oakland	CA	"2900 BROOKDALE AV
Oakland, CA
(37.792726, -122.216848)"
ASSAULT	11/18/2018 12:20:00 AM	18-058318	INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT	34X	9300 INTERNATIONAL BLVD	Oakland	CA	"9300 INTERNATIONAL BLVD
Oakland, CA
(37.747873, -122.173025)"
DISTURBING THE PEACE	10/04/2018 12:48:00 PM	18-050442	DISTURB THE PEACE	30X	1800 74TH AV	Oakland	CA	"1800 74TH AV
Oakland, CA
(37.760836, -122.183048)"
ASSAULT	12/23/2018 02:02:00 AM	18-064453	BATTERY	04X	2100 FRANKLIN ST	Oakland	CA	"2100 FRANKLIN ST
Oakland, CA
(37.810619, -122.26661)"
DISTURBING THE PEACE	10/11/2018 12:10:00 PM	18-914408	ANNOYING TELEPHONE CALL:OBSCENE/THREATENING	30Y	7900 MACARTHUR BLVD	Oakland	CA	"7900 MACARTHUR BLVD
Oakland, CA
(37.765231, -122.167085)"
THEFT/LARCENY	11/29/2018 02:00:00 PM	18-917380	THEFT	24Y	DAVIS ST	Oakland	CA	"DAVIS ST
Oakland, CA"
THEFT/LARCENY	11/02/2018 04:30:00 AM	18-915691	BURGLARY-AUTO	02X	1300 8TH ST	Oakland	CA	"1300 8TH ST
Oakland, CA
(37.805869, -122.292356)"
ASSAULT	10/13/2018 04:10:00 AM	18-051956	EXHIBIT FIREARM	26X	4900 TIDEWATER AV	Oakland	CA	"4900 TIDEWATER AV
Oakland, CA
(37.763086, -122.220651)"
MOTOR VEHICLE THEFT	12/19/2018 09:00:00 AM	18-064443	VEHICLE THEFT - AUTO	34X	8300 PLYMOUTH ST	Oakland	CA	"8300 PLYMOUTH ST
Oakland, CA
(37.756574, -122.175039)"
THEFT/LARCENY	12/01/2018 04:00:00 AM	18-062983	THEFT	04X	1900 BROADWAY	Oakland	CA	"1900 BROADWAY
Oakland, CA
(37.808414, -122.26861)"
MOTOR VEHICLE THEFT	10/21/2018 03:22:00 PM	18-053556	VEHICLE THEFT - AUTO	35Y	9700 MOUNTAIN BLVD	Oakland	CA	"9700 MOUNTAIN BLVD
Oakland, CA
(37.755005, -122.149425)"
THEFT/LARCENY	12/04/2018 07:15:00 PM	18-917599	BURGLARY-AUTO	08X	2400 BROADWAY	Oakland	CA	"2400 BROADWAY
Oakland, CA
(37.813391, -122.265467)"
FRAUD	10/10/2018 12:00:00 PM	18-914270	USE ANOTHER'S PERSONAL IDENTIFICATION TO OBTAIN CREDIT/ETC.	12Y	5200 CLAREMONT AV	Oakland	CA	"5200 CLAREMONT AV
Oakland, CA
(37.838428, -122.261494)"
THEFT/LARCENY	11/05/2018 03:10:00 PM	18-915834	BURGLARY-AUTO	08X	3800 TELEGRAPH AV	Oakland	CA	"3800 TELEGRAPH AV
Oakland, CA
(37.826076, -122.265275)"
THEFT/LARCENY	10/19/2018 12:16:00 PM	18-914911	THEFT	11X	700 52ND ST	Oakland	CA	"700 52ND ST
Oakland, CA
(37.837431, -122.266787)"
MOTOR VEHICLE THEFT	11/29/2018 01:49:00 PM	18-060220	VEHICLE THEFT - AUTO	23X	3300 E 9TH ST	Oakland	CA	"3300 E 9TH ST
Oakland, CA
(37.77307, -122.22682)"
VANDALISM	10/27/2018 10:00:00 AM	18-916444	VANDALISM	04X	1600 WEBSTER ST	Oakland	CA	"1600 WEBSTER ST
Oakland, CA
(37.805045, -122.26775)"
THEFT/LARCENY	11/17/2018 12:08:00 PM	18-058230	THEFT	31Y	500 HEGENBERGER RD	Oakland	CA	"500 HEGENBERGER RD
Oakland, CA
(37.742152, -122.196132)"
ASSAULT	10/04/2018 01:00:00 PM	18-050450	BATTERY	16Y	1600 MACARTHUR BLVD	Oakland	CA	"1600 MACARTHUR BLVD
Oakland, CA
(37.800575, -122.223704)"
THEFT/LARCENY	12/04/2018 03:00:00 AM	18-917557	GRAND THEFT	21Y	3200 E 23RD ST	Oakland	CA	"3200 E 23RD ST
Oakland, CA
(37.785305, -122.221776)"
VANDALISM	11/07/2018 07:35:00 PM	18-915955	VANDALISM	77X	19TH ST	Oakland	CA	"19TH ST
Oakland, CA"
ASSAULT	12/25/2018 08:39:00 PM	18-064869	BATTERY	30Y	2600 PARKER AV	Oakland	CA	"2600 PARKER AV
Oakland, CA
(37.76367, -122.172147)"
THEFT/LARCENY	11/15/2018 10:33:00 AM	18-057881	THEFT	35X	8600 HILLSIDE ST	Oakland	CA	"8600 HILLSIDE ST
Oakland, CA
(37.757666, -122.164138)"
THEFT/LARCENY	11/02/2018 04:50:00 PM	18-915744	BURGLARY-AUTO	31X	400 HEGENBERGER RD	Oakland	CA	"400 HEGENBERGER RD
Oakland, CA
(37.735772, -122.197083)"
THEFT/LARCENY	11/30/2018 11:00:00 AM	18-917447	BURGLARY-AUTO	31X	6600 SAN LEANDRO ST	Oakland	CA	"6600 SAN LEANDRO ST
Oakland, CA
(37.75631, -122.200159)"
BURGLARY	11/26/2018 07:30:00 AM	18-059751	BURGLARY-FORCIBLE ENTRY	24Y	2400 BARTLETT ST	Oakland	CA	"2400 BARTLETT ST
Oakland, CA
(37.787375, -122.213268)"
THEFT/LARCENY	12/04/2018 06:50:00 PM	18-917600	BURGLARY-AUTO	14X	400 EUCLID AV	Oakland	CA	"400 EUCLID AV
Oakland, CA
(37.810826, -122.251502)"
THEFT/LARCENY	11/01/2018 06:30:00 PM	18-915699	THEFT	14X	600 GRAND AV	Oakland	CA	"600 GRAND AV
Oakland, CA
(37.809444, -122.24965)"
THEFT/LARCENY	11/02/2018 07:30:00 PM	18-915736	BURGLARY-AUTO	31X	7000 COLISEUM WY	Oakland	CA	"7000 COLISEUM WY
Oakland, CA
(37.754734, -122.204926)"
MOTOR VEHICLE THEFT	12/14/2018 08:00:00 AM	18-063205	VEHICLE THEFT - AUTO	17Y	700 E 24TH ST	Oakland	CA	"700 E 24TH ST
Oakland, CA
(37.800682, -122.24272)"
MOTOR VEHICLE THEFT	11/23/2018 10:00:00 AM	18-059345	VEHICLE THEFT - AUTO	31Y	200 HEGENBERGER RD	Oakland	CA	"200 HEGENBERGER RD
Oakland, CA
(37.731083, -122.199289)"
VANDALISM	10/20/2018 01:20:00 AM	18-053272	VANDALISM	27Y	5500 HARVEY AV	Oakland	CA	"5500 HARVEY AV
Oakland, CA
(37.771642, -122.197276)"
DISTURBING THE PEACE	12/03/2018 09:00:00 AM	18-917549	ANNOYING TELEPHONE CALL:OBSCENE/THREATENING	25X	4700 GERANIUM PL	Oakland	CA	"4700 GERANIUM PL
Oakland, CA
(37.795536, -122.180242)"
ASSAULT	10/13/2018 09:33:00 AM	18-051983	HARM/DEATH:ELDER/DEP ADLT	24X	3900 SAN JUAN ST	Oakland	CA	"3900 SAN JUAN ST
Oakland, CA
(37.779044, -122.215268)"
BURGLARY	12/26/2018 12:26:00 AM	18-064941	BURGLARY-FORCIBLE ENTRY	13Z	6100 MEDAU PL	Oakland	CA	"6100 MEDAU PL
Oakland, CA
(37.826849, -122.210993)"
THEFT/LARCENY	12/11/2018 06:40:00 PM	18-062532	BURGLARY-AUTO	01X	100 FRANKLIN ST	Oakland	CA	"100 FRANKLIN ST
Oakland, CA
(37.7951, -122.275435)"
THEFT/LARCENY	11/26/2018 07:00:00 PM	18-059761	BURGLARY-AUTO	03Y	500 10TH ST	Oakland	CA	"500 10TH ST
Oakland, CA
(37.801958, -122.273972)"
MOTOR VEHICLE THEFT	11/17/2018 01:00:00 AM	18-058207	VEHICLE THEFT - AUTO	27X	4500 INTERNATIONAL BLVD	Oakland	CA	"4500 INTERNATIONAL BLVD
Oakland, CA
(37.771397, -122.21266)"
DISTURBING THE PEACE	10/30/2018 08:35:00 AM	18-055049	DISTURB THE PEACE	07X	2300 SAN PABLO AV	Oakland	CA	"2300 SAN PABLO AV
Oakland, CA
(37.813591, -122.274188)"
THEFT/LARCENY	11/01/2018 09:00:00 PM	18-915684	BURGLARY-AUTO	07X	3700 MANDELA PKWY	Oakland	CA	"3700 MANDELA PKWY
Oakland, CA
(37.828243, -122.287224)"
FRAUD	12/14/2018 03:55:00 PM	18-917716	USE ANOTHER'S PERSONAL IDENTIFICATION TO OBTAIN CREDIT/ETC.	20X	300 BOWSMAN CT	Oakland	CA	"300 BOWSMAN CT
Oakland, CA"
DISTURBING THE PEACE	10/31/2018 05:45:00 PM	18-915668	ANNOYING TELEPHONE CALL:OBSCENE/THREATENING	01X	100 EMBARCADERO WEST	Oakland	CA	"100 EMBARCADERO WEST
Oakland, CA
(37.792939, -122.270989)"
THEFT/LARCENY	11/21/2018 12:50:00 AM	18-917032	THEFT	12X	300 40TH ST	Oakland	CA	"300 40TH ST
Oakland, CA
(37.827664, -122.256802)"
THEFT/LARCENY	11/03/2018 11:20:00 PM	18-915795	BURGLARY-AUTO	08X	400 W GRAND AV	Oakland	CA	"400 W GRAND AV
Oakland, CA
(37.81154, -122.266726)"
VANDALISM	11/01/2018 07:05:00 AM	18-916064	VANDALISM	77X	E 12TH	Oakland	CA	"E 12TH
Oakland, CA"
MOTOR VEHICLE THEFT	11/01/2018 10:00:00 AM	18-057723	VEHICLE THEFT - AUTO	26Y	900 66TH AV	Oakland	CA	"900 66TH AV
Oakland, CA
(37.757152, -122.20021)"
THEFT/LARCENY	10/27/2018 05:30:00 PM	18-915863	GRAND THEFT	35X	2400 83RD AV	Oakland	CA	"2400 83RD AV
Oakland, CA
(37.760947, -122.166501)"
MOTOR VEHICLE THEFT	11/08/2018 07:00:00 PM	18-056819	VEHICLE THEFT - AUTO	19X	500 E 11TH ST	Oakland	CA	"500 E 11TH ST
Oakland, CA
(37.794267, -122.255601)"
VANDALISM	10/29/2018 12:00:00 AM	18-055080	VANDALISM	04X	2000 SAN PABLO AV	Oakland	CA	"2000 SAN PABLO AV
Oakland, CA
(37.810193, -122.273086)"
ASSAULT	11/29/2018 01:25:00 AM	18-060152	BATTERY W/SERIOUS BODILY INJURY	12X	700 52ND ST	Oakland	CA	"700 52ND ST
Oakland, CA
(37.837431, -122.266787)"
THEFT/LARCENY	10/01/2018 12:35:00 PM	18-049781	THEFT	03Y	400 7TH ST	Oakland	CA	"400 7TH ST
Oakland, CA
(37.799026, -122.272977)"
ASSAULT	12/15/2018 04:30:00 PM	18-063208	BATTERY	29X	5900 MACARTHUR BLVD	Oakland	CA	"5900 MACARTHUR BLVD
Oakland, CA
(37.776491, -122.183947)"
DISTURBING THE PEACE	10/22/2018 03:57:00 PM	18-057871	DISORDERLY CONDUCT:  LODGING IN PUBLIC OR PRIVATE WITHOUT PERMISSION	14X	500 BELLEVUE AV	Oakland	CA	"500 BELLEVUE AV
Oakland, CA
(37.807743, -122.253989)"
MOTOR VEHICLE THEFT	11/18/2018 12:14:00 PM	18-058385	ATTEMPT VEHICLE THEFT-AUTO	04X	100 14TH ST	Oakland	CA	"100 14TH ST
Oakland, CA
(37.801066, -122.26288)"
THEFT/LARCENY	10/29/2018 05:45:00 PM	18-915496	BURGLARY-AUTO	01X	400 WEBSTER ST	Oakland	CA	"400 WEBSTER ST
Oakland, CA
(37.796639, -122.272996)"
BURGLARY	11/22/2018 07:19:00 PM	18-916925	BURGLARY-FORCIBLE ENTRY	35Y	3900 FAIRWAY AV	Oakland	CA	"3900 FAIRWAY AV
Oakland, CA
(37.759977, -122.146813)"
MOTOR VEHICLE THEFT	12/02/2018 12:00:00 AM	18-061379	VEHICLE THEFT - AUTO	06X	600 24TH ST	Oakland	CA	"600 24TH ST
Oakland, CA
(37.814283, -122.272397)"
THEFT/LARCENY	11/09/2018 06:30:00 PM	18-058064	THEFT	08X	3400 RICHMOND BLVD	Oakland	CA	"3400 RICHMOND BLVD
Oakland, CA
(37.82049, -122.258265)"
THEFT/LARCENY	12/03/2018 03:45:00 PM	18-917454	BURGLARY-AUTO	01X	200 2ND ST	Oakland	CA	"200 2ND ST
Oakland, CA
(37.793899, -122.270827)"
THEFT/LARCENY	10/12/2018 08:00:00 AM	18-051880	GRAND THEFT	19X	900 E 10TH ST	Oakland	CA	"900 E 10TH ST
Oakland, CA
(37.790819, -122.253333)"
MOTOR VEHICLE THEFT	12/05/2018 12:45:00 PM	18-061370	VEHICLE THEFT - AUTO	13Z	6400 MORAGA AV	Oakland	CA	"6400 MORAGA AV
Oakland, CA
(37.827209, -122.211338)"
ASSAULT	10/22/2018 02:06:00 AM	18-053562	FORCE/ADW-OTHER DANGEROUS WEAPON:GBI	35X	2300 98TH AV	Oakland	CA	"2300 98TH AV
Oakland, CA
(37.749001, -122.160595)"
VANDALISM	11/08/2018 07:45:00 PM	18-916016	VANDALISM	12Y	5800 COLLEGE AV	Oakland	CA	"5800 COLLEGE AV
Oakland, CA
(37.84619, -122.251954)"
THEFT/LARCENY	11/24/2018 05:05:00 PM	18-917050	BURGLARY-AUTO	20X	3000 CHAPMAN ST	Oakland	CA	"3000 CHAPMAN ST
Oakland, CA
(37.772651, -122.231275)"
VANDALISM	10/20/2018 11:30:00 PM	18-914949	VANDALISM	04X	300 17TH ST	Oakland	CA	"300 17TH ST
Oakland, CA
(37.805387, -122.266503)"
VANDALISM	12/05/2018 06:00:00 PM	18-917679	VANDALISM	03Y	500 10TH ST	Oakland	CA	"500 10TH ST
Oakland, CA
(37.801958, -122.273972)"
ROBBERY	11/26/2018 10:51:00 PM	18-059736	ROBBERY-FIREARM	16Y	1100 EL CENTRO AV	Oakland	CA	"1100 EL CENTRO AV
Oakland, CA
(37.810969, -122.219779)"
BURGLARY	11/16/2018 12:00:00 PM	18-058178	BURGLARY-NO FORCE	35X	2400 90TH AV	Oakland	CA	"2400 90TH AV
Oakland, CA
(37.754859, -122.162975)"
THEFT/LARCENY	10/19/2018 05:30:00 AM	18-914841	THEFT	23X	1600 38TH AV	Oakland	CA	"1600 38TH AV
Oakland, CA
(37.776351, -122.218742)"
THEFT/LARCENY	12/04/2018 07:45:00 PM	18-061225	BURGLARY-AUTO	77X	500 JEFFERSON ST	Oakland	CA	"500 JEFFERSON ST
Oakland, CA
(37.799538, -122.27863)"
THEFT/LARCENY	11/05/2018 04:30:00 PM	18-058018	BURGLARY-AUTO	19X	700 E 11TH ST	Oakland	CA	"700 E 11TH ST
Oakland, CA
(37.792969, -122.254091)"
MOTOR VEHICLE THEFT	12/25/2018 04:47:00 PM	18-064824	VEHICLE THEFT - AUTO	12Y	5500 LAWTON AV	Oakland	CA	"5500 LAWTON AV
Oakland, CA
(37.842554, -122.25158)"
VANDALISM	11/01/2018 12:10:00 AM	18-915657	VANDALISM	31Z	200 ISLETON AV	Oakland	CA	"200 ISLETON AV
Oakland, CA
(37.730355, -122.18365)"
VANDALISM	10/09/2018 04:00:00 PM	18-914262	VANDALISM	99X	4400 SHELLMOUND ST	Oakland	CA	"4400 SHELLMOUND ST
Oakland, CA
(37.831043, -122.292906)"
MOTOR VEHICLE THEFT	11/27/2018 05:00:00 PM	18-060042	VEHICLE THEFT - AUTO	34X	9500 WALNUT ST	Oakland	CA	"9500 WALNUT ST
Oakland, CA
(37.747487, -122.169841)"
MOTOR VEHICLE THEFT	11/21/2018 01:55:00 AM	18-917031	ATTEMPT VEHICLE THEFT-AUTO	12X	5000 CLARKE ST	Oakland	CA	"5000 CLARKE ST
Oakland, CA
(37.836684, -122.260966)"
ROBBERY	10/04/2018 01:25:00 AM	18-050333	ROBBERY-FIREARM	24X	2100 SANTA RITA ST	Oakland	CA	"2100 SANTA RITA ST
Oakland, CA
(37.783321, -122.213919)"
THEFT/LARCENY	11/28/2018 06:15:00 PM	18-917247	BURGLARY-AUTO	04X	2200 VALLEY ST	Oakland	CA	"2200 VALLEY ST
Oakland, CA
(37.811049, -122.268005)"
DRUGS/ALCOHOL VIOLATIONS	10/12/2018 09:25:00 AM	18-051801	USE/UNDER INFLUENCE OF CONTROLLED SUBSTANCE (AMENDED)	07X	2300 SAN PABLO AV	Oakland	CA	"2300 SAN PABLO AV
Oakland, CA
(37.813591, -122.274188)"
VANDALISM	10/16/2018 07:00:00 AM	18-914860	VANDALISM	02X	400 ADELINE ST	Oakland	CA	"400 ADELINE ST
Oakland, CA
(37.801558, -122.289)"
BURGLARY	11/25/2018 12:00:00 PM	18-917034	BURGLARY-FORCIBLE ENTRY	26Y	6800 HAWLEY ST	Oakland	CA	"6800 HAWLEY ST
Oakland, CA
(37.757289, -122.197485)"
DISTURBING THE PEACE	11/25/2018 08:38:00 AM	18-059457	DISTURB THE PEACE	07X	2300 SAN PABLO AV	Oakland	CA	"2300 SAN PABLO AV
Oakland, CA
(37.813591, -122.274188)"
MOTOR VEHICLE THEFT	12/14/2018 12:30:00 AM	18-063044	VEHICLE THEFT - AUTO	27Y	6100 HAYES ST	Oakland	CA	"6100 HAYES ST
Oakland, CA
(37.767969, -122.193439)"
ASSAULT	12/26/2018 09:04:00 AM	18-064907	BATTERY	06X	2300 MARTIN LUTHER KING JR W	Oakland	CA	"2300 MARTIN LUTHER KING JR W
Oakland, CA"
THEFT/LARCENY	11/24/2018 02:00:00 AM	18-917368	BURGLARY-AUTO	11X	600 55TH ST	Oakland	CA	"600 55TH ST
Oakland, CA
(37.840427, -122.264231)"
ROBBERY	11/17/2018 02:00:00 AM	18-058219	ROBBERY-FIREARM	04X	300 14TH ST	Oakland	CA	"300 14TH ST
Oakland, CA
(37.80292, -122.267606)"
THEFT/LARCENY	12/04/2018 11:00:00 AM	18-062683	THEFT	21X	2400 E 24TH ST	Oakland	CA	"2400 E 24TH ST
Oakland, CA
(37.789528, -122.227257)"
MOTOR VEHICLE THEFT	12/12/2018 10:30:00 PM	18-062804	VEHICLE THEFT - AUTO	13Y	200 CAPRICORN AV	Oakland	CA	"200 CAPRICORN AV
Oakland, CA
(37.838795, -122.218513)"
THEFT/LARCENY	12/04/2018 12:00:00 AM	18-062807	THEFT	24X	3500 HARPER ST	Oakland	CA	"3500 HARPER ST
Oakland, CA
(37.783699, -122.217517)"
DISTURBING THE PEACE	10/12/2018 12:00:00 AM	18-051840	DISTURB THE PEACE	30X	1600 CHURCH ST	Oakland	CA	"1600 CHURCH ST
Oakland, CA
(37.762419, -122.18851)"
THEFT/LARCENY	11/05/2018 12:00:00 PM	18-915860	BURGLARY-AUTO	04X	1800 SAN PABLO AV	Oakland	CA	"1800 SAN PABLO AV
Oakland, CA
(37.808106, -122.272441)"
MOTOR VEHICLE THEFT	11/12/2018 02:00:00 PM	18-057606	VEHICLE THEFT - AUTO	18X	1700 23RD AV	Oakland	CA	"1700 23RD AV
Oakland, CA
(37.78576, -122.233318)"
THEFT/LARCENY	12/04/2018 12:50:00 PM	18-917653	BURGLARY-AUTO	03Y	400 10TH ST	Oakland	CA	"400 10TH ST
Oakland, CA
(37.801642, -122.273134)"
ARSON	10/20/2018 03:24:00 AM	18-053202	MAL SET/ETC FIRE PROP/ETC - MOTOR VEHICLES	02Y	800 PINE ST	Oakland	CA	"800 PINE ST
Oakland, CA
(37.80871, -122.303271)"
THEFT/LARCENY	11/28/2018 07:00:00 PM	18-060217	THEFT	20X	3000 E 9TH ST	Oakland	CA	"3000 E 9TH ST
Oakland, CA
(37.774568, -122.231174)"
THEFT/LARCENY	11/04/2018 10:00:00 AM	18-058120	THEFT	13Z	6100 MEDAU PL	Oakland	CA	"6100 MEDAU PL
Oakland, CA
(37.826849, -122.210993)"
VANDALISM	10/09/2018 12:00:00 AM	18-914281	VANDALISM	24Y	3500 HAGEMAN AV	Oakland	CA	"3500 HAGEMAN AV
Oakland, CA
(37.790605, -122.205888)"
BURGLARY	11/26/2018 07:46:00 PM	18-059870	BURGLARY-NO FORCE	12Y	6300 COLLEGE AV	Oakland	CA	"6300 COLLEGE AV
Oakland, CA
(37.850007, -122.252346)"
DISTURBING THE PEACE	11/30/2018 11:13:00 AM	18-917502	ANNOYING TELEPHONE CALL:OBSCENE/THREATENING	30Y	7900 MACARTHUR BLVD	Oakland	CA	"7900 MACARTHUR BLVD
Oakland, CA
(37.765231, -122.167085)"
THEFT/LARCENY	10/09/2018 12:00:00 AM	18-051435	BURGLARY-AUTO	02Y	1800 14TH ST	Oakland	CA	"1800 14TH ST
Oakland, CA
(37.813704, -122.29867)"
THEFT/LARCENY	11/18/2018 09:00:00 AM	18-917699	BURGLARY-AUTO	19X	1700 EMBARCADERO	Oakland	CA	"1700 EMBARCADERO
Oakland, CA
(37.785863, -122.24564)"
THEFT/LARCENY	12/03/2018 02:35:00 AM	18-917453	BURGLARY-AUTO	04X	600 21ST ST	Oakland	CA	"600 21ST ST
Oakland, CA
(37.810664, -122.271397)"
ROBBERY	10/29/2018 04:47:00 AM	18-054893	ROBBERY-FIREARM	06X	700 W MACARTHUR BLVD	Oakland	CA	"700 W MACARTHUR BLVD
Oakland, CA
(37.82747, -122.270575)"
BURGLARY	12/19/2018 05:00:00 AM	18-064781	BURGLARY-FORCIBLE ENTRY	18Y	3000 22ND AV	Oakland	CA	"3000 22ND AV
Oakland, CA
(37.796818, -122.226783)"
ASSAULT	10/21/2018 09:53:00 PM	18-053538	BATTERY	04X	2000 BROADWAY	Oakland	CA	"2000 BROADWAY
Oakland, CA
(37.80946, -122.267903)"
THEFT/LARCENY	12/16/2018 12:18:00 PM	18-063306	BURGLARY-AUTO	03Y	400 7TH ST	Oakland	CA	"400 7TH ST
Oakland, CA
(37.799026, -122.272977)"
VANDALISM	10/09/2018 08:50:00 PM	18-914290	VANDALISM	14X	200 GRAND AV	Oakland	CA	"200 GRAND AV
Oakland, CA
(37.810775, -122.26147)"
THEFT/LARCENY	10/18/2018 08:30:00 PM	18-914861	BURGLARY-AUTO	12X	400 49TH ST	Oakland	CA	"400 49TH ST
Oakland, CA
(37.835331, -122.258874)"
DISTURBING THE PEACE	10/30/2018 08:32:00 AM	18-055046	DISTURB THE PEACE	07X	2300 SAN PABLO AV	Oakland	CA	"2300 SAN PABLO AV
Oakland, CA
(37.813591, -122.274188)"
DISTURBING THE PEACE	11/27/2018 09:01:00 AM	18-059782	DISTURB THE PEACE	07X	2300 SAN PABLO AV	Oakland	CA	"2300 SAN PABLO AV
Oakland, CA
(37.813591, -122.274188)"
DISTURBING THE PEACE	11/07/2018 08:36:00 AM	18-056469	DISTURB THE PEACE	07X	2300 SAN PABLO AV	Oakland	CA	"2300 SAN PABLO AV
Oakland, CA
(37.813591, -122.274188)"
THEFT/LARCENY	12/04/2018 08:30:00 PM	18-917637	BURGLARY-AUTO	03Y	400 10TH ST	Oakland	CA	"400 10TH ST
Oakland, CA
(37.801642, -122.273134)"
MOTOR VEHICLE THEFT	10/20/2018 07:00:00 PM	18-053625	VEHICLE THEFT - AUTO	25X	4600 KAPHAN AV	Oakland	CA	"4600 KAPHAN AV
Oakland, CA
(37.789689, -122.185084)"
THEFT/LARCENY	11/02/2018 08:50:00 AM	18-055595	THEFT	27Y	2200 64TH AV	Oakland	CA	"2200 64TH AV
Oakland, CA
(37.766339, -122.190795)"
FRAUD	11/27/2018 12:00:00 AM	18-917189	USE ANOTHER'S PERSONAL IDENTIFICATION TO OBTAIN CREDIT/ETC.	16Y	3900 GREENWOOD AV	Oakland	CA	"3900 GREENWOOD AV
Oakland, CA
(37.805762, -122.2278)"
THEFT/LARCENY	11/17/2018 01:25:00 PM	18-058243	GRAND THEFT	28X	4400 ALLENDALE AV	Oakland	CA	"4400 ALLENDALE AV
Oakland, CA
(37.78212, -122.201219)"
THEFT/LARCENY	12/03/2018 08:00:00 PM	18-917576	BURGLARY-AUTO	08X	3300 HARRISON ST	Oakland	CA	"3300 HARRISON ST
Oakland, CA
(37.818314, -122.255687)"
ASSAULT	10/21/2018 10:04:00 PM	18-053531	BATTERY	31Z	11100 ROBLEDO DR	Oakland	CA	"11100 ROBLEDO DR
Oakland, CA
(37.72918, -122.172608)"
MOTOR VEHICLE THEFT	12/22/2018 06:50:00 PM	18-064407	VEHICLE THEFT - AUTO	34X	1900 92ND AV	Oakland	CA	"1900 92ND AV
Oakland, CA
(37.751334, -122.168095)"
THEFT/LARCENY	10/10/2018 06:40:00 PM	18-914398	BURGLARY-AUTO	14Y	3200 GRAND AV	Oakland	CA	"3200 GRAND AV
Oakland, CA
(37.811458, -122.247926)"
THEFT/LARCENY	10/11/2018 05:45:00 AM	18-914343	BURGLARY-AUTO	09X	4000 PIEDMONT AV	Oakland	CA	"4000 PIEDMONT AV
Oakland, CA
(37.825445, -122.253685)"
THEFT/LARCENY	10/08/2018 08:00:00 PM	18-914293	BURGLARY-AUTO	08X	400 W GRAND AV	Oakland	CA	"400 W GRAND AV
Oakland, CA
(37.81154, -122.266726)"
DISTURBING THE PEACE	11/08/2018 08:37:00 AM	18-056662	DISTURB THE PEACE	07X	2300 SAN PABLO AV	Oakland	CA	"2300 SAN PABLO AV
Oakland, CA
(37.813591, -122.274188)"
ASSAULT	12/25/2018 10:42:00 PM	18-064875	BATTERY	30X	1600 81ST AV	Oakland	CA	"1600 81ST AV
Oakland, CA
(37.757456, -122.177845)"
VANDALISM	12/04/2018 04:00:00 PM	18-917682	VANDALISM	07X	2900 FILBERT ST	Oakland	CA	"2900 FILBERT ST
Oakland, CA
(37.820844, -122.278623)"
THEFT/LARCENY	11/22/2018 01:10:00 PM	18-917507	BURGLARY-AUTO	25Y	5800 BALMORAL DR	Oakland	CA	"5800 BALMORAL DR
Oakland, CA
(37.802324, -122.16707)"
