CRIMETYPE,DATETIME,CASENUMBER,DESCRIPTION,POLICEBEAT,ADDRESS,CITY,STATE,Location
VANDALISM,08/20/2018 07:30:00 AM,18-911473,VANDALISM,08X,3000 WEBSTER ST,Oakland,CA,"3000 WEBSTER ST
Oakland, CA
(37.819036, -122.263363)"
THEFT/LARCENY,08/29/2018 12:23:00 PM,18-043774,THEFT,20X,3000 E 9TH ST,Oakland,CA,"3000 E 9TH ST
Oakland, CA
(37.774483, -122.231168)"
THEFT/LARCENY,08/29/2018 05:04:00 PM,18-912045,BURGLARY-AUTO,19X,1200 EMBARCADERO,Oakland,CA,"1200 EMBARCADERO
Oakland, CA
(37.788219, -122.251554)"
DISTURBING THE PEACE,09/15/2018 10:25:00 AM,18-912941,ANNOYING TELEPHONE CALL:OBSCENE/THREATENING,33X,1300 83RD AV,Oakland,CA,"1300 83RD AV
Oakland, CA
(37.753998, -122.180039)"
ASSAULT,09/24/2018 03:34:00 PM,18-048485,ASSAULT WITH FIREARM ON PERSON,05Y,1400 18TH ST,Oakland,CA,"1400 18TH ST
Oakland, CA
(37.813691, -122.290234)"
MOTOR VEHICLE THEFT,09/17/2018 02:00:00 PM,18-047219,VEHICLE THEFT - AUTO,10Y,5800 ADELINE ST,Oakland,CA,"5800 ADELINE ST
Oakland, CA
(37.843333, -122.273656)"
BURGLARY,08/23/2018 04:00:00 AM,18-042697,BURGLARY-FORCIBLE ENTRY,08X,2400 TELEGRAPH AV,Oakland,CA,"2400 TELEGRAPH AV
Oakland, CA
(37.813813, -122.268493)"
ASSAULT,08/30/2018 02:30:00 AM,18-043875,EXHIBIT FIREARM,05X,1800 LINDEN ST,Oakland,CA,"1800 LINDEN ST
Oakland, CA
(37.812119, -122.282866)"
THEFT/LARCENY,08/29/2018 07:30:00 PM,18-912105,THEFT,02X,1000 LINDEN ST,Oakland,CA,"1000 LINDEN ST
Oakland, CA
(37.806151, -122.285042)"
ASSAULT,08/20/2018 10:00:00 PM,18-042153,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,29X,5500 FOOTHILL BLVD,Oakland,CA,"5500 FOOTHILL BLVD
Oakland, CA
(37.772492, -122.195283)"
ASSAULT,09/08/2018 01:31:00 PM,18-045688,BATTERY,01X,100 EMBARCADERO,Oakland,CA,"100 EMBARCADERO
Oakland, CA
(37.791482, -122.266034)"
THEFT/LARCENY,07/27/2018 08:00:00 PM,18-910176,BURGLARY-AUTO,12X,4900 SHATTUCK AV,Oakland,CA,"4900 SHATTUCK AV
Oakland, CA
(37.835924, -122.26392)"
ASSAULT,08/29/2018 05:27:00 PM,18-043827,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,30X,7600 LOCKWOOD ST,Oakland,CA,"7600 LOCKWOOD ST
Oakland, CA
(37.761468, -122.179687)"
THEFT/LARCENY,07/26/2018 07:00:00 PM,18-910150,BURGLARY-AUTO,04X,1800 SAN PABLO AV,Oakland,CA,"1800 SAN PABLO AV
Oakland, CA
(37.808106, -122.272441)"
VANDALISM,07/28/2018 12:36:00 PM,18-037718,VANDALISM,30Y,8000 IDLEWOOD ST,Oakland,CA,"8000 IDLEWOOD ST
Oakland, CA
(37.763362, -122.167141)"
ROBBERY,09/15/2018 10:25:00 PM,18-046915,CARJACKING WITH FIREARM,21X,1900 24TH AV,Oakland,CA,"1900 24TH AV
Oakland, CA
(37.786304, -122.230704)"
THEFT/LARCENY,07/29/2018 06:00:00 PM,18-038154,THEFT,23X,1600 HIGH ST,Oakland,CA,"1600 HIGH ST
Oakland, CA
(37.773599, -122.213189)"
THEFT/LARCENY,08/29/2018 08:00:00 PM,18-912172,BURGLARY-AUTO,23X,1000 36TH AV,Oakland,CA,"1000 36TH AV
Oakland, CA
(37.773593, -122.223368)"
MOTOR VEHICLE THEFT,09/11/2018 08:45:00 AM,18-046065,VEHICLE THEFT - AUTO,12X,500 41ST ST,Oakland,CA,"500 41ST ST
Oakland, CA
(37.829968, -122.264341)"
ASSAULT,07/30/2018 10:03:00 PM,18-038102,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,20X,3000 FORD ST,Oakland,CA,"3000 FORD ST
Oakland, CA
(37.771947, -122.231511)"
THEFT/LARCENY,07/28/2018 09:30:00 PM,18-910215,BURGLARY-AUTO,14X,400 BELLEVUE AV,Oakland,CA,"400 BELLEVUE AV
Oakland, CA
(37.810562, -122.252517)"
ASSAULT,10/12/2018 09:10:00 PM,18-051925,THREAT CRIME:INT:TERRORIZE,19X,1100 INTERNATIONAL BLVD,Oakland,CA,"1100 INTERNATIONAL BLVD
Oakland, CA
(37.791258, -122.24877)"
THEFT/LARCENY,,18-047131,APPROPRIATE LOST PROPERTY-MISD,25Y,8000 GREENRIDGE DR,Oakland,CA,"8000 GREENRIDGE DR
Oakland, CA
(37.772468, -122.154154)"
THEFT/LARCENY,08/25/2018 07:30:00 PM,18-912458,GRAND THEFT,12Y,5300 COLLEGE AV,Oakland,CA,"5300 COLLEGE AV
Oakland, CA
(37.837843, -122.25129)"
BURGLARY,08/08/2018 10:53:00 PM,18-910838,BURGLARY-FORCIBLE ENTRY,19X,300 EMBARCADERO,Oakland,CA,"300 EMBARCADERO
Oakland, CA
(37.790704, -122.26193)"
VANDALISM,09/14/2018 10:30:00 PM,18-912930,VANDALISM,29X,3400 65TH AV,Oakland,CA,"3400 65TH AV
Oakland, CA
(37.773626, -122.17783)"
MOTOR VEHICLE THEFT,08/21/2018 08:19:00 AM,18-042219,VEHICLE THEFT - AUTO,21Y,3200 LOGAN ST,Oakland,CA,"3200 LOGAN ST
Oakland, CA
(37.787612, -122.221212)"
THEFT/LARCENY,07/31/2018 12:00:00 AM,18-910275,THEFT,04X,2200 MARTIN LUTHER KING JR W,Oakland,CA,"2200 MARTIN LUTHER KING JR W
Oakland, CA"
BURGLARY,08/28/2018 07:50:00 AM,18-912041,BURGLARY-FORCIBLE ENTRY,07X,1000 30TH ST,Oakland,CA,"1000 30TH ST
Oakland, CA
(37.821327, -122.278701)"
ASSAULT,08/20/2018 08:36:00 PM,18-042147,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,30X,7400 WELD ST,Oakland,CA,"7400 WELD ST
Oakland, CA
(37.762025, -122.181311)"
THEFT/LARCENY,10/03/2018 10:56:00 AM,18-913966,THEFT,33X,8000 SAN LEANDRO ST,Oakland,CA,"8000 SAN LEANDRO ST
Oakland, CA
(37.749812, -122.192414)"
THEFT/LARCENY,08/08/2018 07:30:00 PM,18-910816,BURGLARY-AUTO,04X,1700 JEFFERSON ST,Oakland,CA,"1700 JEFFERSON ST
Oakland, CA
(37.807627, -122.273587)"
VANDALISM,10/09/2018 09:30:00 PM,18-914263,VANDALISM,31Z,9800 ST ELMO DR,Oakland,CA,"9800 ST ELMO DR
Oakland, CA
(37.732165, -122.186906)"
