CRIMETYPE	DATETIME	CASENUMBER	DESCRIPTION	POLICEBEAT	ADDRESS	CITY	STATE	Location
THEFT/LARCENY	12/08/2018 12:00:00 PM	18-061920	GRAND THEFT:MONEY/LABOR/PROPERTY  OVER $400	17X	1200 EAST 18TH ST	Oakland	CA	"1200 EAST 18TH ST
Oakland, CA
(37.79323, -122.244327)"
MOTOR VEHICLE THEFT	12/09/2018 09:10:00 AM	18-062037	VEHICLE THEFT - AUTO	03X	900 FALLON ST	Oakland	CA	"900 FALLON ST
Oakland, CA
(37.797161, -122.263854)"
THEFT/LARCENY	12/09/2018 07:45:00 PM	18-062121	THEFT	04X	2000 BROADWAY	Oakland	CA	"2000 BROADWAY
Oakland, CA
(37.80946, -122.267903)"
DUI	12/27/2018 11:03:00 PM	18-065217	DUI ALCOHOL/DRUGS	20X	2800 E 16TH ST	Oakland	CA	"2800 E 16TH ST
Oakland, CA
(37.781391, -122.228218)"
BURGLARY	12/08/2018 02:15:00 PM	18-061909	SHOPLIFTING-COMMERCIAL ESTABLISHMENT WITH INTENT WHERE VALUE DOES NOT EXCEED $950	20X	1200 23RD AV	Oakland	CA	"1200 23RD AV
Oakland, CA
(37.782202, -122.237233)"
VANDALISM	12/03/2018 12:00:00 AM	18-060953	VANDALISM	04X	500 WILLIAM ST	Oakland	CA	"500 WILLIAM ST
Oakland, CA
(37.809168, -122.271154)"
ROBBERY	12/27/2018 10:10:00 PM	18-065212	ROBBERY-FIREARM	11X	63/SHATTUCK AVE.	Oakland	CA	"63/SHATTUCK AVE.
Oakland, CA"
THEFT/LARCENY	12/06/2018 08:30:00 PM	18-917218	BURGLARY-AUTO	03Y	500 12TH ST	Oakland	CA	"500 12TH ST
Oakland, CA
(37.803675, -122.273554)"
THEFT/LARCENY	12/27/2018 12:00:00 AM	18-065086	THEFT	04X	1600 BROADWAY	Oakland	CA	"1600 BROADWAY
Oakland, CA
(37.80609, -122.270065)"
THEFT/LARCENY	12/09/2018 01:56:00 PM	18-062070	THEFT	03Y	400 7TH ST	Oakland	CA	"400 7TH ST
Oakland, CA
(37.799026, -122.272977)"
ASSAULT	12/06/2018 02:37:00 PM	18-061566	THREAT CRIME:INT:TERRORIZE	09X	200 W MACARTHUR BLVD	Oakland	CA	"200 W MACARTHUR BLVD
Oakland, CA
(37.822651, -122.255684)"
BURGLARY	12/09/2018 07:22:00 AM	18-062036	BURGLARY-FORCIBLE ENTRY	33X	9000 G ST	Oakland	CA	"9000 G ST
Oakland, CA
(37.745383, -122.18247)"
FRAUD	12/07/2018 09:20:00 AM	18-917250	USE ANOTHER'S PERSONAL IDENTIFICATION TO OBTAIN CREDIT/ETC.	09X	00 WHITMORE PL	Oakland	CA	"00 WHITMORE PL
Oakland, CA"
DRUGS/ALCOHOL VIOLATIONS	12/28/2018 02:09:00 AM	18-065234	POSSESS NARCOTIC CONTROLLED SUBSTANCE	09X	4100 BROADWAY	Oakland	CA	"4100 BROADWAY
Oakland, CA
(37.828685, -122.255905)"
ASSAULT	12/06/2018 12:00:00 PM	18-061660	EXHIBIT FIREARM	05X	800 20TH ST	Oakland	CA	"800 20TH ST
Oakland, CA
(37.811571, -122.277154)"
ASSAULT	12/07/2018 08:38:00 PM	18-061821	BATTERY	32Y	10100 FOOTHILL BLVD	Oakland	CA	"10100 FOOTHILL BLVD
Oakland, CA
(37.745169, -122.155)"
MOTOR VEHICLE THEFT	12/08/2018 01:00:00 AM	18-061851	VEHICLE THEFT - AUTO	03X	00 10TH ST	Oakland	CA	"00 10TH ST
Oakland, CA"
SEX CRIMES	12/06/2018 05:41:00 PM	18-061595	DISORDERLY CONDUCT:PROSTITUTION	19X	1700 INTERNATIONAL BLVD	Oakland	CA	"1700 INTERNATIONAL BLVD
Oakland, CA
(37.787566, -122.242897)"
ASSAULT	12/02/2018 06:00:00 AM	18-060824	BATTERY:SPOUSE/EX SPOUSE/DATE/ETC	07X	3500 MAGNOLIA ST	Oakland	CA	"3500 MAGNOLIA ST
Oakland, CA
(37.826713, -122.281101)"
MOTOR VEHICLE THEFT	12/16/2018 03:45:00 PM	18-063339	VEHICLE THEFT - AUTO	03X	1000 WEBSTER ST	Oakland	CA	"1000 WEBSTER ST
Oakland, CA
(37.800633, -122.270503)"
ROBBERY	12/07/2018 06:24:00 PM	18-061802	ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)	10Y	900 40TH ST	Oakland	CA	"900 40TH ST
Oakland, CA
(37.830719, -122.274033)"
THEFT/LARCENY	12/07/2018 06:30:00 PM	18-061872	BURGLARY-AUTO	05X	1500 WEST ST	Oakland	CA	"1500 WEST ST
Oakland, CA
(37.808273, -122.279057)"
DISTURBING THE PEACE	12/03/2018 11:00:00 PM	18-061578	DISTURB THE PEACE	14X	300 MACARTHUR BLVD	Oakland	CA	"300 MACARTHUR BLVD
Oakland, CA
(37.817514, -122.25297)"
THEFT/LARCENY	12/27/2018 06:30:00 PM	18-065207	GRAND THEFT:MONEY/LABOR/PROPERTY  OVER $400	07X	800 MEAD AV	Oakland	CA	"800 MEAD AV
Oakland, CA
(37.816439, -122.275235)"
MOTOR VEHICLE THEFT	12/02/2018 08:00:00 PM	18-060898	VEHICLE THEFT - AUTO	19X	1100 E 11TH ST	Oakland	CA	"1100 E 11TH ST
Oakland, CA
(37.789995, -122.250759)"
VANDALISM	12/06/2018 02:30:00 PM	18-061632	VANDALISM	23X	900 HIGH ST	Oakland	CA	"900 HIGH ST
Oakland, CA
(37.769944, -122.218028)"
MOTOR VEHICLE THEFT	12/16/2018 04:00:00 PM	18-063400	VEHICLE THEFT - AUTO	32Y	2000 101ST AV	Oakland	CA	"2000 101ST AV
Oakland, CA
(37.743981, -122.161573)"
DISTURBING THE PEACE	12/08/2018 08:37:00 AM	18-061865	DISTURB THE PEACE	03Y	400 7TH ST	Oakland	CA	"400 7TH ST
Oakland, CA
(37.799026, -122.272977)"
VANDALISM	12/08/2018 03:45:00 AM	18-061845	VANDALISM	08X	500 30TH ST	Oakland	CA	"500 30TH ST
Oakland, CA
(37.819413, -122.266909)"
BURGLARY	12/24/2018 03:30:00 AM	18-064591	BURGLARY-FORCIBLE ENTRY	23X	3200 FOOTHILL BLVD	Oakland	CA	"3200 FOOTHILL BLVD
Oakland, CA
(37.783484, -122.221991)"
MOTOR VEHICLE THEFT	12/17/2018 10:00:00 PM	18-063465	VEHICLE THEFT - AUTO	33X	1200 89TH AV	Oakland	CA	"1200 89TH AV
Oakland, CA
(37.749019, -122.17817)"
BURGLARY	12/15/2018 01:00:00 PM	18-063228	BURGLARY-FORCIBLE ENTRY	30Y	7800 NEY AV	Oakland	CA	"7800 NEY AV
Oakland, CA
(37.767302, -122.167146)"
VANDALISM	12/08/2018 02:50:00 AM	18-061843	VANDALISM	14X	300 GRAND AV	Oakland	CA	"300 GRAND AV
Oakland, CA
(37.809029, -122.256834)"
ROBBERY	12/08/2018 08:50:00 AM	18-061873	ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)	21Y	2400 FRUITVALE AV	Oakland	CA	"2400 FRUITVALE AV
Oakland, CA
(37.786966, -122.221471)"
DISTURBING THE PEACE	12/08/2018 08:34:00 AM	18-061861	DISTURB THE PEACE	03Y	400 7TH ST	Oakland	CA	"400 7TH ST
Oakland, CA
(37.799026, -122.272977)"
MOTOR VEHICLE THEFT	12/24/2018 03:00:00 PM	18-065285	VEHICLE THEFT - AUTO	14Y	500 JEAN ST	Oakland	CA	"500 JEAN ST
Oakland, CA
(37.81635, -122.249544)"
DUI	12/16/2018 08:59:00 PM	18-063380	DUI ALCOHOL/DRUGS	22X	2700 MOUNTAIN GATE WY	Oakland	CA	"2700 MOUNTAIN GATE WY
Oakland, CA
(37.818092, -122.199228)"
MOTOR VEHICLE THEFT	12/26/2018 10:00:00 PM	18-065070	VEHICLE THEFT - AUTO	12Y	400 MCAULEY ST	Oakland	CA	"400 MCAULEY ST
Oakland, CA
(37.846103, -122.256453)"
ASSAULT	12/05/2018 10:00:00 PM	18-061707	WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER	32X	1200 100TH AV	Oakland	CA	"1200 100TH AV
Oakland, CA
(37.741038, -122.172277)"
ASSAULT	12/16/2018 08:21:00 PM	18-063393	THREAT CRIME:INT:TERRORIZE	31Y	700 LOUISIANA ST	Oakland	CA	"700 LOUISIANA ST
Oakland, CA
(37.740047, -122.186158)"
ASSAULT	12/07/2018 01:30:00 AM	18-061665	THREAT CRIME:INT:TERRORIZE	08X	300 W MACARTHUR BLVD	Oakland	CA	"300 W MACARTHUR BLVD
Oakland, CA
(37.824164, -122.257833)"
MOTOR VEHICLE THEFT	12/27/2018 01:35:00 AM	18-065160	VEHICLE THEFT - AUTO	27X	2400 COLE ST	Oakland	CA	"2400 COLE ST
Oakland, CA
(37.775134, -122.198706)"
BURGLARY	12/28/2018 04:50:00 PM	18-065356	BURGLARY-FORCIBLE ENTRY	14X	6300 ESTATES DR	Oakland	CA	"6300 ESTATES DR
Oakland, CA
(37.827145, -122.214848)"
ASSAULT	12/07/2018 09:47:00 AM	18-061727	BATTERY	06X	2300 SAN PABLO AV	Oakland	CA	"2300 SAN PABLO AV
Oakland, CA
(37.813591, -122.274188)"
MOTOR VEHICLE THEFT	12/08/2018 10:00:00 PM	18-061925	VEHICLE THEFT - AUTO	35Y	100 MARLOW DR	Oakland	CA	"100 MARLOW DR
Oakland, CA
(37.736882, -122.13879)"
THEFT/LARCENY	12/09/2018 02:39:00 AM	18-062008	THEFT	09X	4100 PIEDMONT AV	Oakland	CA	"4100 PIEDMONT AV
Oakland, CA
(37.826568, -122.252189)"
THEFT/LARCENY	12/13/2018 07:00:00 PM	18-063570	THEFT	02Y	300 HENRY ST	Oakland	CA	"300 HENRY ST
Oakland, CA
(37.803104, -122.298033)"
FRAUD	12/27/2018 03:50:00 AM	18-918148	USE ANOTHER'S PERSONAL IDENTIFICATION TO OBTAIN CREDIT/ETC.	21X	2300 E 22ND ST	Oakland	CA	"2300 E 22ND ST
Oakland, CA
(37.789451, -122.230943)"
ASSAULT	12/27/2018 07:45:00 PM	18-065189	BATTERY	30Y	6900 BANCROFT AV	Oakland	CA	"6900 BANCROFT AV
Oakland, CA
(37.7679, -122.17919)"
ROBBERY	12/27/2018 08:15:00 PM	18-065196	ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)	01X	100 BLK FRANKLIN ST	Oakland	CA	"100 BLK FRANKLIN ST
Oakland, CA
(37.7951, -122.275435)"
ASSAULT	12/09/2018 03:10:00 PM	18-062089	BATTERY	27Y	2600 64TH AV	Oakland	CA	"2600 64TH AV
Oakland, CA
(37.769403, -122.185982)"
ASSAULT	12/16/2018 03:45:00 AM	18-063273	ASSAULT WITH FIREARM ON PERSON	04X	1400 WEBSTER ST	Oakland	CA	"1400 WEBSTER ST
Oakland, CA
(37.803604, -122.268653)"
SEX CRIMES	12/06/2018 06:31:00 PM	18-061603	DISORDERLY CONDUCT:PROSTITUTION	19X	2100 INTERNATIONAL BLVD	Oakland	CA	"2100 INTERNATIONAL BLVD
Oakland, CA
(37.785198, -122.238939)"
